battery_capacity_kwh,charge_speed_kw,discharge_speed_kw,charge_factor_in_0_1,discharge_factor_in_0_1,min_perc_soc,state_number,action_number,beta
16.000000,3.6,3.6,0.876000,0.876000,0,20,5,1
16.000000,3.6,3.6,0.876000,0.876000,0,20,5,5
16.000000,3.6,3.6,0.876000,0.876000,0,20,5,10
16.000000,3.6,3.6,0.876000,0.876000,0,20,5,20
16.000000,3.6,3.6,0.876000,0.876000,0,20,5,50
16.000000,3.6,3.6,0.876000,0.876000,0,10,5,1
16.000000,3.6,3.6,0.876000,0.876000,0,10,5,5
16.000000,3.6,3.6,0.876000,0.876000,0,10,5,10
16.000000,3.6,3.6,0.876000,0.876000,0,10,5,20
16.000000,3.6,3.6,0.876000,0.876000,0,10,5,50
