battery_capacity_kwh,charge_speed_kw,discharge_speed_kw,charge_factor_in_0_1,discharge_factor_in_0_1,min_perc_soc,action_number,state_number,beta
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,1
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,2.5
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,5
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,10
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,25
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,50
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,75
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,100
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,150
16.000000,3.6,3.6,0.876000,0.876000,0,25,100,200
